행 수(집계됨),Region,State
1339,North Central,MT
208884,Southeast,NC
2678,New England,NH
1339,New England,RI
1339,New England,ME
124445,Southeast,SC
14729,New England,CT
21424,Midwest,MN
60255,Southeast,LA
99385,Mid-Atlantic,VA
26780,South Central,KS
58916,Midwest,IL
8841,Mid-Atlantic,WV
18746,South Central,NM
60255,South Central,CO
17407,Mid-Atlantic,DE
9373,North Central,ID
113815,Southeast,AL
27462,South Central,UT
21424,New England,NY
18746,West,WA
109798,Midwest,MO
40170,Midwest,MI
378,North Central,WY
18746,Midwest,IA
78528,Southeast,TN
12051,West,NV
12051,Mid-Atlantic,DC
277173,Southeast,GA
83018,Midwest,OH
41509,Southeast,MS
2678,North Central,ND
52221,Midwest,IN
259766,Southeast,FL
522210,South Central,TX
2106,North Central,SD
16068,North Central,NE
6695,West,OR
21424,New England,MA
168714,West,CA
113960,Mid-Atlantic,PA
56238,Southeast,KY
9945,Midwest,WI
49543,Mid-Atlantic,NJ
48204,Southeast,AR
111137,Mid-Atlantic,MD
57577,South Central,OK
56238,South Central,AZ
